Time,Ay,Vx,Station,Cronometro,AV_Eng,AV_TC,AV_Trans
         0.05, -0.00355173414573, 54.9073028564, -9.23684978485,             0, 11444.0439453, 11444.0439453, 2240.91503906
        0.051, -0.00365335680544,  54.905632019, -9.22160148621,             0, 11443.9667969, 11443.9667969,  2240.8894043
        0.052, -0.00375666236505, 54.9039764404, -9.20635318756,             0, 11443.8886719, 11443.8886719, 2240.86499023
        0.053, -0.00386159331538, 54.9023284912, -9.19110584259,             0, 11443.8095703, 11443.8095703, 2240.84179688
        0.054, -0.00396809680387, 54.9006958008, -9.17585849762,             0, 11443.7294922, 11443.7294922, 2240.81933594
        0.055, -0.00407612230629, 54.8990707397, -9.16061210632,             0, 11443.6484375, 11443.6484375,  2240.7980957
        0.056, -0.00418562442064, 54.8974571228, -9.14536571503,             0, 11443.5664062, 11443.5664062, 2240.77783203
        0.057, -0.00429656123742, 54.8958587646, -9.1301202774,             0, 11443.4824219, 11443.4824219, 2240.75830078
        0.058, -0.00440889410675, 54.8942718506, -9.11487483978,             0, 11443.3984375, 11443.3984375, 2240.73974609
        0.059, -0.00452258856967, 54.8926925659, -9.09963035583,             0,    11443.3125,    11443.3125, 2240.72192383
         0.06, -0.00463761202991,   54.89112854, -9.08438587189,             0, 11443.2255859, 11443.2255859, 2240.70458984
        0.061, -0.00475393841043, 54.8895759583, -9.06914138794,             0, 11443.1386719, 11443.1386719, 2240.68823242
        0.062, -0.00487154209986, 54.8880348206, -9.05389785767,             0, 11443.0498047, 11443.0498047, 2240.67236328
        0.063, -0.00499040354043, 54.8865013123, -9.03865528107,             0, 11442.9599609, 11442.9599609, 2240.65722656
        0.064, -0.00511050410569, 54.8849830627, -9.02341270447,             0, 11442.8691406, 11442.8691406, 2240.64233398
        0.065, -0.00523183029145,  54.883480072, -9.00817012787,             0, 11442.7773438, 11442.7773438, 2240.62817383
